Designator,Value,Kind,Reason/Action
C4,220uF_35V_INPUT_BULK,tht,"Selected candidate: Panasonic EEU-FR1V221 or Nichicon UPW1V221MPD, 220uF/35V radial electrolytic. Verify lead pitch against current pads before ordering."
C5,1nF_C0G_THERMO_DIFF_FILTER_DNP_IF_NOISY,smd,"DNP for first PCBA: current RevA.1 footprint is a draft wide-pad filter, not an 0805 placement. Candidate if redesigned: C76625 / TDK C2012C0G1H102JT000N, 1nF C0G 0805."
D1,SB560_FLYBACK,tht,"Selected candidate: SB560 DO-201AD Schottky, JLC C139684. Hand-solder after fan type is confirmed."
D2,SMBJ33A_24V_INPUT_TVS,smd,"DNP for first PCBA: draft TVS footprint needs land-pattern verification. Candidate: SMBJ33A-13-F, JLC C135067."
D3,SMBJ33A_FAN_TVS,smd,"DNP for first PCBA: draft TVS footprint needs land-pattern verification. Candidate: SMBJ33A-13-F, JLC C135067."
F1,T3.15A_24V_SIDE,tht,Selected candidate class: PCB 5x20mm fuse holder with ~22mm pin spacing plus T3.15A fuse. Verify footprint before order; consider external inline fuse holder if fit is uncertain.
J1,24V_IN_FROM_230V_PSU_3A,tht,"Selected candidate: WJ2EDGRC-5.08-02P-14-00A, JLC C3697, 2-pin 5.08mm pluggable terminal. Hand-solder after enclosure choice."
J2,FAN_24V_PWM_3A,tht,"Selected candidate: WJ2EDGRC-5.08-02P-14-00A, JLC C3697, 2-pin 5.08mm pluggable terminal. Hand-solder after enclosure choice."
J3,SSR_INPUT_TO_EXTERNAL_SSR,tht,"Selected candidate: WJ2EDGRC-5.08-02P-14-00A, JLC C3697, 2-pin 5.08mm pluggable terminal. Hand-solder after SSR wiring choice."
J4,K_TYPE_THERMOCOUPLE,tht,"Selected candidate: WJ2EDGRC-5.08-02P-14-00A, JLC C3697, 2-pin 5.08mm pluggable terminal. K-type thermocouple needs strain relief; true TC mini-jack is RevA.2 mechanical work."
PADESP1,GND,smd,Test/debug pad; no assembly part.
PADESP2,3V3,smd,Test/debug pad; no assembly part.
PADESP3,EN,smd,Test/debug pad; no assembly part.
PADESP4,IO4,smd,Test/debug pad; no assembly part.
PADESP5,IO5,smd,Test/debug pad; no assembly part.
PADESP6,IO6,smd,Test/debug pad; no assembly part.
PADESP7,IO7,smd,Test/debug pad; no assembly part.
PADESP8,IO15,smd,Test/debug pad; no assembly part.
PADESP9,IO16,smd,Test/debug pad; no assembly part.
PADESP10,IO17,smd,Test/debug pad; no assembly part.
PADESP11,IO18,smd,Test/debug pad; no assembly part.
PADESP12,IO8,smd,Test/debug pad; no assembly part.
PADESP13,USB_D-,smd,Test/debug pad; no assembly part.
PADESP14,USB_D+,smd,Test/debug pad; no assembly part.
PADESP15,IO3,smd,Test/debug pad; no assembly part.
PADESP16,IO46,smd,Test/debug pad; no assembly part.
PADESP17,IO9,smd,Test/debug pad; no assembly part.
PADESP18,IO10,smd,Test/debug pad; no assembly part.
PADESP19,IO11,smd,Test/debug pad; no assembly part.
PADESP20,IO12,smd,Test/debug pad; no assembly part.
PADESP21,IO13,smd,Test/debug pad; no assembly part.
PADESP22,IO14,smd,Test/debug pad; no assembly part.
PADESP23,IO21,smd,Test/debug pad; no assembly part.
PADESP24,IO47,smd,Test/debug pad; no assembly part.
PADESP25,IO48,smd,Test/debug pad; no assembly part.
PADESP26,IO45,smd,Test/debug pad; no assembly part.
PADESP27,IO0,smd,Test/debug pad; no assembly part.
PADESP28,IO35,smd,Test/debug pad; no assembly part.
PADESP29,IO36,smd,Test/debug pad; no assembly part.
PADESP30,IO37,smd,Test/debug pad; no assembly part.
