Designators,Qty,Function,Assembly,Selected part,JLC_LCSC_code,Status_seen,Package,Notes
U1,1,ESP32 module,PCBA,ESP32-S3-WROOM-1-N8R8,C2913201,Extended,ESP32-S3-WROOM-1,Confirm antenna keepout and rotation
U2,1,Thermocouple converter,PCBA,MAX6675ISA+T,C16030,Extended,SOIC-8,3.3V operation
J5,1,USB-C connector,PCBA,U262-16 1 N-4BVC11,C319148,Extended,USB-C receptacle,Verify orientation in preview
Q2,1,SSR low-side MOSFET,PCBA,2N7002,C8545,Basic,SOT-23,SSR driver
R1 R3,2,Gate resistors,PCBA,0805W8F1000T5E 100R 1%,C17408,Basic,0805,
R2 R4,2,Pulldowns,PCBA,0805W8F1003T5E 100k 1%,C149504,Basic,0805,
R5 R6,2,EN/BOOT pullups,PCBA,0805W8F1002T5E 10k 1%,C17414,Basic,0805,
R7 R8,2,USB series resistors,PCBA,0805W8F270JT5E 27R,C17594,Promo/basic-equivalent,0805,
R10 R11,2,USB-C CC Rd,PCBA,0805W8F5101T5E 5.1k 1%,C27834,Basic,0805,
C1 C2,2,Rail bulk capacitors,PCBA,CL21A106KAYNNNE 10uF,C15850,Basic,0805,
C3,1,MAX6675 bypass,PCBA,CC0805KRX7R9BB104 100nF 50V X7R,C49678,Basic,0805,
J1 J2 J3 J4,4,2-pin terminals,Hand-solder,WJ2EDGRC-5.08-02P-14-00A,C3697,Extended,THT 5.08mm,Mechanical/enclosure choice
D1,1,Fan flyback diode,Hand-solder,SB560,C139684,Extended,DO-201AD,Confirm real fan behavior
Q1,1,Fan power MOSFET,Hand-solder,IRLB8721PBF,C153222,Extended,TO-220,Alternative FQP30N06L C243087
D2 D3,2,TVS clamps,DNP/RevA2,SMBJ33A-13-F,C135067,Extended,SMB,Draft footprint verify before assembly
U5,1,USB ESD,DNP/RevA2,USBLC6-2SC6,C7519,Extended,SOT-23-6,Draft footprint replace before assembly
C5,1,Thermocouple filter,DNP/RevA2,C2012C0G1H102JT000N 1nF C0G,C76625,Extended,0805,Draft footprint and optional electrically
C4,1,24V input bulk,Hand-solder,Panasonic EEU-FR1V221 or Nichicon UPW1V221MPD,,Distributor,Radial electrolytic,Verify lead pitch
F1,1,24V fuse holder,Hand-solder,5x20mm PCB fuse holder + T3.15A fuse,,Mechanical,THT,Verify 22mm pad spacing or use external inline fuse
U3,1,3.3V switcher,Wire-in/RevA2,OKI-78SR-3.3/1.5-W36-C or R-78E3.3-0.5,,Module,SIP,Current footprint mismatch
U4,1,24V to 5V buck,Wire-in/RevA2,Pololu D24V10F5 class,C26689857,Extended,module,Verify/adapt footprint
SW1 SW2,2,Reset/Boot buttons,Optional hand-solder,K3-1391A-51,C92655,Extended,6x6mm THT tactile,Can omit if debug pads suffice
